model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1.4b,compound_words.pyth.24.-1,prime-factors,1,1355,1.0,1.0,1.0,1.0,7.9996643
pythia-1.4b,ewt.pyth.512.-1,Gender_Masc,13,601,0.9954865029137481,0.9971346704871061,1.0,0.9942857142857143,5.862735
pythia-1.4b,ewt.pyth.512.-1,Person_2,13,7677,0.9945837918598731,0.9953617810760668,0.9944392956441149,0.9962859795728877,7.8501706
pythia-1.4b,compound_words.pyth.24.-1,social-security,2,1627,0.9922658736928063,0.993801652892562,0.9876796714579056,1.0,7.6376843
pythia-1.4b,ewt.pyth.512.-1,Gender_Neut,1,5606,0.9874422177363102,0.9937369519832986,0.9986013986013986,0.9889196675900277,-27.39842
pythia-1.4b,compound_words.pyth.24.-1,social-media,2,3353,0.9902682666803316,0.9923518164435947,0.9848197343453511,1.0,7.1422563
pythia-1.4b,distribution_id.pyth.512.-1,uspto,4,7661,0.9911030710739102,0.9922239502332814,0.996875,0.9876160990712074,15.035427
pythia-1.4b,text_features.pyth.256.10000,all_digits,1,2531,0.9897383553025332,0.9918300653594772,0.9902120717781403,0.9934533551554828,10.939851
pythia-1.4b,text_features.pyth.256.10000,contains_digit,1,2531,0.9897383553025332,0.9918300653594772,0.9902120717781403,0.9934533551554828,10.941356
pythia-1.4b,ewt.pyth.512.-1,Gender_Fem,13,4665,0.990487351443806,0.9916434540389973,1.0,0.9834254143646409,7.4316373
pythia-1.4b,distribution_id.pyth.512.-1,freelaw,15,7920,0.9802830610368103,0.9838187702265372,0.9956331877729258,0.9722814498933902,14.636609
pythia-1.4b,compound_words.pyth.24.-1,blood-pressure,2,4506,0.972483651444575,0.9779559118236473,0.9587426326129665,0.9979550102249489,8.254138
pythia-1.4b,compound_words.pyth.24.-1,public-health,2,4881,0.9650926019194095,0.9716684155299057,0.9487704918032787,0.9956989247311828,6.2028117
pythia-1.4b,distribution_id.pyth.512.-1,arxiv,21,4250,0.9606057751376013,0.9692028985507247,0.9744990892531876,0.963963963963964,16.458654
pythia-1.4b,ewt.pyth.512.-1,Person_1,1,2737,0.9584469168957579,0.9666549666549668,0.9956616052060737,0.9392905866302865,15.009053
pythia-1.4b,compound_words.pyth.24.-1,living-room,2,3857,0.955133671340244,0.9632829373650107,0.9350104821802935,0.9933184855233853,6.408793
pythia-1.4b,compound_words.pyth.24.-1,mental-health,2,5006,0.9534536701058647,0.9623430962343096,0.9387755102040817,0.9871244635193133,7.937719
pythia-1.4b,ewt.pyth.512.-1,PronType_Art,1,2785,0.9513342809692762,0.9609427609427609,0.967457627118644,0.954515050167224,-42.65712
pythia-1.4b,compound_words.pyth.24.-1,north-america,3,628,0.9455593377908758,0.9556025369978859,0.9243353783231084,0.9890590809628009,9.297402
pythia-1.4b,compound_words.pyth.24.-1,side-effects,2,237,0.9456441141775318,0.9553478712357216,0.9145129224652088,1.0,5.084775
pythia-1.4b,ewt.pyth.512.-1,eos_True,16,4808,0.9317510937455105,0.9454061251664448,0.9498327759197325,0.9410205434062293,5.182934
pythia-1.4b,compound_words.pyth.24.-1,high-school,3,1731,0.9279989368905042,0.9417670682730924,0.9019230769230769,0.9852941176470589,8.795845
pythia-1.4b,compound_words.pyth.24.-1,human-rights,3,1922,0.9233474111555732,0.9395348837209303,0.9033989266547406,0.9786821705426356,6.730582
pythia-1.4b,compound_words.pyth.24.-1,cell-lines,4,8120,0.9262583578324923,0.938860103626943,0.884765625,1.0,5.8155637
pythia-1.4b,compound_words.pyth.24.-1,trial-court,1,1261,0.9209666626579538,0.9364754098360655,0.9085487077534792,0.9661733615221987,9.359768
pythia-1.4b,latex.pyth.1024.-1,is_title,9,1218,0.9116742137836377,0.9329647546648238,0.9368494101318529,0.9291121816930489,3.9916573
pythia-1.4b,programming_lang_id.pyth.512.-1,Go,3,2283,0.922738679005349,0.9312169312169312,0.9617486338797814,0.9025641025641026,24.351988
pythia-1.4b,distribution_id.pyth.512.-1,wikipedia,6,7995,0.9240344536943549,0.9301310043668122,0.9681818181818181,0.8949579831932774,28.068876
pythia-1.4b,compound_words.pyth.24.-1,second-derivative,2,518,0.9099177987548568,0.9281553398058252,0.8901303538175046,0.9695740365111561,7.980144
pythia-1.4b,compound_words.pyth.24.-1,credit-card,2,2564,0.9093734784743982,0.9248434237995824,0.8669275929549902,0.9910514541387024,6.0046916
pythia-1.4b,ewt.pyth.512.-1,upos_PUNC,23,7569,0.8987877071021416,0.9185134674394818,0.9283252929014473,0.9089068825910931,3.6007316
pythia-1.4b,compound_words.pyth.24.-1,third-party,2,3370,0.8951716490836135,0.9142857142857144,0.8529411764705882,0.9851380042462845,4.5698714
pythia-1.4b,compound_words.pyth.24.-1,gene-expression,5,4244,0.893508974683675,0.913086913086913,0.8558052434456929,0.9785867237687366,7.6451616
pythia-1.4b,compound_words.pyth.24.-1,federal-government,4,1316,0.8855173974755943,0.9073881373569199,0.8702594810379242,0.9478260869565217,8.119285
pythia-1.4b,ewt.pyth.512.-1,Person_3,1,5266,0.8699156316743223,0.9053909318100679,0.9455630126771066,0.8684931506849315,-32.182583
pythia-1.4b,compound_words.pyth.24.-1,magnetic-field,2,7337,0.8786954609496989,0.9012229539040452,0.830155979202773,0.98559670781893,6.138183
pythia-1.4b,compound_words.pyth.24.-1,control-group,4,6151,0.8769964755814416,0.9008498583569404,0.8383128295254832,0.9734693877551021,6.185455
pythia-1.4b,programming_lang_id.pyth.512.-1,Java,3,4181,0.8747102982027056,0.8948374760994262,0.8830188679245283,0.9069767441860465,14.150448
