model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-160m,natural_lang_id.pyth.512.-1,de,1,912,1.0,1.0,1.0,1.0,43.355812
pythia-160m,natural_lang_id.pyth.512.-1,de,1,1775,1.0,1.0,1.0,1.0,46.617
pythia-160m,natural_lang_id.pyth.512.-1,de,1,2211,1.0,1.0,1.0,1.0,28.14767
pythia-160m,natural_lang_id.pyth.512.-1,de,1,2306,1.0,1.0,1.0,1.0,38.37585
pythia-160m,natural_lang_id.pyth.512.-1,de,1,2361,1.0,1.0,1.0,1.0,31.352041
pythia-160m,natural_lang_id.pyth.512.-1,de,2,268,1.0,1.0,1.0,1.0,38.575798
pythia-160m,natural_lang_id.pyth.512.-1,de,2,521,1.0,1.0,1.0,1.0,33.75389
pythia-160m,natural_lang_id.pyth.512.-1,de,3,2759,1.0,1.0,1.0,1.0,39.415894
pythia-160m,natural_lang_id.pyth.512.-1,de,5,1162,1.0,1.0,1.0,1.0,35.573936
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1007,1.0,1.0,1.0,1.0,29.822718
pythia-160m,natural_lang_id.pyth.512.-1,de,11,2901,1.0,1.0,1.0,1.0,24.225286
pythia-160m,natural_lang_id.pyth.512.-1,el,0,15,1.0,1.0,1.0,1.0,35.26701
pythia-160m,natural_lang_id.pyth.512.-1,el,0,74,1.0,1.0,1.0,1.0,39.877274
pythia-160m,natural_lang_id.pyth.512.-1,el,0,85,1.0,1.0,1.0,1.0,40.318493
pythia-160m,natural_lang_id.pyth.512.-1,el,0,296,1.0,1.0,1.0,1.0,40.415695
pythia-160m,natural_lang_id.pyth.512.-1,el,0,368,1.0,1.0,1.0,1.0,34.810734
pythia-160m,natural_lang_id.pyth.512.-1,el,0,493,1.0,1.0,1.0,1.0,39.306812
pythia-160m,natural_lang_id.pyth.512.-1,el,0,800,1.0,1.0,1.0,1.0,37.454628
pythia-160m,natural_lang_id.pyth.512.-1,el,0,896,1.0,1.0,1.0,1.0,23.651873
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1189,1.0,1.0,1.0,1.0,33.18432
pythia-160m,natural_lang_id.pyth.512.-1,de,5,1922,1.0,1.0,1.0,1.0,38.95355
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1368,1.0,1.0,1.0,1.0,42.15412
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1422,1.0,1.0,1.0,1.0,43.068073
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1453,1.0,1.0,1.0,1.0,39.54401
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1463,1.0,1.0,1.0,1.0,8.265878
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1544,1.0,1.0,1.0,1.0,28.916418
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1583,1.0,1.0,1.0,1.0,22.13557
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1715,1.0,1.0,1.0,1.0,46.90649
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1719,1.0,1.0,1.0,1.0,31.975836
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1750,1.0,1.0,1.0,1.0,23.035095
pythia-160m,natural_lang_id.pyth.512.-1,de,11,1319,1.0,1.0,1.0,1.0,22.471373
pythia-160m,natural_lang_id.pyth.512.-1,de,11,311,1.0,1.0,1.0,1.0,33.32254
pythia-160m,natural_lang_id.pyth.512.-1,de,11,195,1.0,1.0,1.0,1.0,21.21977
pythia-160m,natural_lang_id.pyth.512.-1,de,11,87,1.0,1.0,1.0,1.0,38.172173
pythia-160m,natural_lang_id.pyth.512.-1,de,5,2062,1.0,1.0,1.0,1.0,42.35638
pythia-160m,natural_lang_id.pyth.512.-1,de,5,3000,1.0,1.0,1.0,1.0,7.9947486
pythia-160m,natural_lang_id.pyth.512.-1,de,7,457,1.0,1.0,1.0,1.0,23.048016
pythia-160m,natural_lang_id.pyth.512.-1,de,7,1229,1.0,1.0,1.0,1.0,23.88949
pythia-160m,natural_lang_id.pyth.512.-1,de,7,2341,1.0,1.0,1.0,1.0,26.162956
pythia-160m,natural_lang_id.pyth.512.-1,de,7,2872,1.0,1.0,1.0,1.0,37.187588
pythia-160m,natural_lang_id.pyth.512.-1,de,8,212,1.0,1.0,1.0,1.0,23.741997
pythia-160m,natural_lang_id.pyth.512.-1,de,8,1388,1.0,1.0,1.0,1.0,21.012533
pythia-160m,natural_lang_id.pyth.512.-1,de,8,1542,1.0,1.0,1.0,1.0,42.34767
pythia-160m,natural_lang_id.pyth.512.-1,de,8,2235,1.0,1.0,1.0,1.0,5.5453362
pythia-160m,natural_lang_id.pyth.512.-1,de,8,2627,1.0,1.0,1.0,1.0,28.38034
pythia-160m,natural_lang_id.pyth.512.-1,de,8,3017,1.0,1.0,1.0,1.0,26.506514
pythia-160m,natural_lang_id.pyth.512.-1,de,9,1228,1.0,1.0,1.0,1.0,23.943464
pythia-160m,natural_lang_id.pyth.512.-1,de,9,1275,1.0,1.0,1.0,1.0,25.736353
pythia-160m,natural_lang_id.pyth.512.-1,de,10,535,1.0,1.0,1.0,1.0,19.686836
pythia-160m,natural_lang_id.pyth.512.-1,de,10,571,1.0,1.0,1.0,1.0,16.98674
pythia-160m,natural_lang_id.pyth.512.-1,de,10,653,1.0,1.0,1.0,1.0,31.582691
pythia-160m,natural_lang_id.pyth.512.-1,de,10,1192,1.0,1.0,1.0,1.0,15.543888
pythia-160m,natural_lang_id.pyth.512.-1,de,10,1676,1.0,1.0,1.0,1.0,27.425653
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1766,1.0,1.0,1.0,1.0,30.403307
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1827,1.0,1.0,1.0,1.0,37.4336
pythia-160m,natural_lang_id.pyth.512.-1,el,0,1980,1.0,1.0,1.0,1.0,39.344948
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,749,1.0,1.0,1.0,1.0,44.00538
pythia-160m,natural_lang_id.pyth.512.-1,it,11,588,1.0,1.0,1.0,1.0,23.224024
pythia-160m,natural_lang_id.pyth.512.-1,it,11,2359,1.0,1.0,1.0,1.0,32.76007
pythia-160m,natural_lang_id.pyth.512.-1,it,11,2396,1.0,1.0,1.0,1.0,20.659184
pythia-160m,natural_lang_id.pyth.512.-1,nl,1,819,1.0,1.0,1.0,1.0,50.77529
pythia-160m,natural_lang_id.pyth.512.-1,nl,7,2368,1.0,1.0,1.0,1.0,23.50715
pythia-160m,natural_lang_id.pyth.512.-1,nl,8,959,1.0,1.0,1.0,1.0,25.769785
pythia-160m,natural_lang_id.pyth.512.-1,nl,10,1403,1.0,1.0,1.0,1.0,11.710723
pythia-160m,natural_lang_id.pyth.512.-1,pt,9,604,1.0,1.0,1.0,1.0,20.84818
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,642,1.0,1.0,1.0,1.0,21.959322
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,946,1.0,1.0,1.0,1.0,28.383379
pythia-160m,natural_lang_id.pyth.512.-1,sv,2,2,1.0,1.0,1.0,1.0,47.47155
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,1376,1.0,1.0,1.0,1.0,24.402597
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,1611,1.0,1.0,1.0,1.0,50.104763
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,1661,1.0,1.0,1.0,1.0,30.338013
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,1741,1.0,1.0,1.0,1.0,28.634659
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,1943,1.0,1.0,1.0,1.0,38.340935
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,2470,1.0,1.0,1.0,1.0,48.268795
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,2508,1.0,1.0,1.0,1.0,36.661125
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,2546,1.0,1.0,1.0,1.0,35.729004
pythia-160m,natural_lang_id.pyth.512.-1,sv,1,2780,1.0,1.0,1.0,1.0,29.703024
pythia-160m,natural_lang_id.pyth.512.-1,it,11,463,1.0,1.0,1.0,1.0,22.290354
pythia-160m,natural_lang_id.pyth.512.-1,it,10,2952,1.0,1.0,1.0,1.0,40.43114
pythia-160m,natural_lang_id.pyth.512.-1,it,10,2711,1.0,1.0,1.0,1.0,21.722027
pythia-160m,natural_lang_id.pyth.512.-1,it,10,2638,1.0,1.0,1.0,1.0,23.950596
pythia-160m,natural_lang_id.pyth.512.-1,it,8,2485,1.0,1.0,1.0,1.0,5.9535756
pythia-160m,natural_lang_id.pyth.512.-1,it,9,259,1.0,1.0,1.0,1.0,22.50712
