model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1b,programming_lang_id.pyth.512.-1,Go,6,3108,0.9647745660292385,0.9689119170984456,0.9790575916230366,0.958974358974359,8.226216
pythia-1b,programming_lang_id.pyth.512.-1,PHP,9,7926,0.9553678431247704,0.9577464788732394,0.9902912621359223,0.9272727272727272,9.4361925
pythia-1b,programming_lang_id.pyth.512.-1,Go,1,884,0.9467680510682587,0.9516129032258065,1.0,0.9076923076923077,18.493044
pythia-1b,programming_lang_id.pyth.512.-1,Go,9,1823,0.9442817822227344,0.9509043927648579,0.9583333333333334,0.9435897435897436,13.344632
pythia-1b,programming_lang_id.pyth.512.-1,Python,10,3855,0.9400676873103173,0.945054945054945,0.9555555555555556,0.9347826086956522,8.521176
pythia-1b,programming_lang_id.pyth.512.-1,Python,9,1693,0.9354155185612765,0.9402985074626865,0.9692307692307692,0.9130434782608695,10.610265
pythia-1b,programming_lang_id.pyth.512.-1,Python,6,7172,0.9352624971914606,0.9398496240601504,0.9765625,0.9057971014492754,13.13241
pythia-1b,programming_lang_id.pyth.512.-1,Python,10,1414,0.919465744992127,0.9259259259259259,0.946969696969697,0.9057971014492754,14.452617
pythia-1b,programming_lang_id.pyth.512.-1,Python,3,5491,0.9185218173593093,0.9236641221374046,0.9758064516129032,0.8768115942028986,19.576696
pythia-1b,programming_lang_id.pyth.512.-1,Java,6,4070,0.9124065157258477,0.9263565891472868,0.9263565891472868,0.9263565891472868,12.90993
pythia-1b,programming_lang_id.pyth.512.-1,Go,1,7072,0.9043539770693867,0.9144385026737969,0.9553072625698324,0.8769230769230769,23.958105
pythia-1b,programming_lang_id.pyth.512.-1,PHP,10,5633,0.9042516486109267,0.9107142857142856,0.8947368421052632,0.9272727272727272,10.540982
pythia-1b,natural_lang_id.pyth.512.-1,sv,14,7524,1.0,1.0,1.0,1.0,22.972248
pythia-1b,natural_lang_id.pyth.512.-1,sv,13,768,1.0,1.0,1.0,1.0,18.979378
pythia-1b,natural_lang_id.pyth.512.-1,sv,13,1160,1.0,1.0,1.0,1.0,18.445103
pythia-1b,natural_lang_id.pyth.512.-1,sv,13,4078,1.0,1.0,1.0,1.0,19.976536
pythia-1b,natural_lang_id.pyth.512.-1,sv,13,5942,1.0,1.0,1.0,1.0,24.191122
pythia-1b,natural_lang_id.pyth.512.-1,sv,14,34,1.0,1.0,1.0,1.0,13.069096
