model,dataset,feature,layer,aggregation,hook_loc,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1b,programming_lang_id.pyth.512.-1,Go,6,mean,mlp.hook_post,3108,0.9647745660292385,0.9689119170984456,0.9790575916230366,0.958974358974359,8.226216
pythia-1b,programming_lang_id.pyth.512.-1,PHP,9,mean,mlp.hook_post,7926,0.9553678431247704,0.9577464788732394,0.9902912621359223,0.9272727272727272,9.4361925
pythia-1b,programming_lang_id.pyth.512.-1,Go,1,mean,mlp.hook_post,884,0.9467680510682587,0.9516129032258065,1.0,0.9076923076923077,18.493044
pythia-1b,programming_lang_id.pyth.512.-1,Go,9,mean,mlp.hook_post,1823,0.9442817822227344,0.9509043927648579,0.9583333333333334,0.9435897435897436,13.344632
pythia-1b,programming_lang_id.pyth.512.-1,Python,10,mean,mlp.hook_post,3855,0.9400676873103173,0.945054945054945,0.9555555555555556,0.9347826086956522,8.521176
pythia-1b,programming_lang_id.pyth.512.-1,Python,9,mean,mlp.hook_post,1693,0.9354155185612765,0.9402985074626865,0.9692307692307692,0.9130434782608695,10.610265
pythia-1b,programming_lang_id.pyth.512.-1,Python,6,mean,mlp.hook_post,7172,0.9352624971914606,0.9398496240601504,0.9765625,0.9057971014492754,13.13241
pythia-1b,programming_lang_id.pyth.512.-1,Java,6,mean,mlp.hook_post,4070,0.9124065157258477,0.9263565891472868,0.9263565891472868,0.9263565891472868,12.90993
pythia-1b,programming_lang_id.pyth.512.-1,PHP,10,mean,mlp.hook_post,5633,0.9042516486109267,0.9107142857142856,0.8947368421052632,0.9272727272727272,10.540982
pythia-1b,programming_lang_id.pyth.512.-1,PHP,9,mean,mlp.hook_post,1808,0.8903332923046247,0.897196261682243,0.9230769230769231,0.8727272727272727,14.229025
pythia-1b,programming_lang_id.pyth.512.-1,Java,10,mean,mlp.hook_post,3887,0.874336737217571,0.8942486085343229,0.8576512455516014,0.9341085271317829,4.555989
pythia-1b,programming_lang_id.pyth.512.-1,Java,11,mean,mlp.hook_post,1870,0.8571495805676833,0.8798521256931607,0.8409893992932862,0.9224806201550387,14.687348
pythia-1b,programming_lang_id.pyth.512.-1,C,1,mean,mlp.hook_post,3398,0.8183904415830677,0.8463073852295409,0.8617886178861789,0.8313725490196079,16.776478
