model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1b,compound_words.pyth.24.-1,prime-factors,1,2136,1.0,1.0,1.0,1.0,6.199722
pythia-1b,ewt.pyth.512.-1,Gender_Masc,11,6389,0.9954846562961445,0.9971455756422454,0.9961977186311787,0.9980952380952381,4.468813
pythia-1b,ewt.pyth.512.-1,Gender_Neut,1,522,0.98747360484039,0.9937282229965156,1.0,0.9875346260387812,-27.519505
pythia-1b,distribution_id.pyth.512.-1,uspto,10,3880,0.9911030710739102,0.9922239502332814,0.996875,0.9876160990712074,11.882441
pythia-1b,ewt.pyth.512.-1,Person_2,8,4787,0.9902700241454738,0.9916666666666667,0.9889196675900277,0.9944289693593314,6.7825165
pythia-1b,ewt.pyth.512.-1,Gender_Fem,8,2125,0.990487351443806,0.9916434540389973,1.0,0.9834254143646409,3.7560015
pythia-1b,compound_words.pyth.24.-1,social-media,3,2471,0.9878666837054594,0.9904580152671756,0.9810964083175804,1.0,5.4474263
pythia-1b,distribution_id.pyth.512.-1,arxiv,14,6473,0.9872721335607556,0.9900452488687783,0.9945454545454545,0.9855855855855856,13.6769705
pythia-1b,compound_words.pyth.24.-1,social-security,5,6258,0.9821547952087509,0.9856557377049181,0.9717171717171718,1.0,7.03419
pythia-1b,distribution_id.pyth.512.-1,freelaw,1,3798,0.980291658300813,0.9837837837837838,0.9978070175438597,0.9701492537313433,13.622677
pythia-1b,ewt.pyth.512.-1,eos_True,12,1376,0.9755205926356193,0.9804441498176997,0.9807692307692307,0.9801192842942346,4.2008157
pythia-1b,compound_words.pyth.24.-1,north-america,1,3567,0.9736521630187913,0.9785407725321889,0.96,0.9978118161925602,8.577467
pythia-1b,programming_lang_id.pyth.512.-1,Go,6,3108,0.9647745660292385,0.9689119170984456,0.9790575916230366,0.958974358974359,8.226216
pythia-1b,compound_words.pyth.24.-1,blood-pressure,3,6952,0.9565120574404704,0.9651741293532338,0.939922480620155,0.9918200408997955,8.088262
pythia-1b,compound_words.pyth.24.-1,living-room,3,3558,0.9567325744437385,0.9644779332615716,0.9333333333333333,0.9977728285077951,7.449879
pythia-1b,compound_words.pyth.24.-1,side-effects,3,2064,0.9552629665216523,0.9633507853403142,0.9292929292929293,1.0,4.5238867
pythia-1b,compound_words.pyth.24.-1,trial-court,2,2296,0.9547625920676504,0.9632653061224489,0.9309664694280079,0.9978858350951374,7.1900015
pythia-1b,programming_lang_id.pyth.512.-1,PHP,9,7926,0.9553678431247704,0.9577464788732394,0.9902912621359223,0.9272727272727272,9.4361925
pythia-1b,compound_words.pyth.24.-1,human-rights,2,4138,0.9421653257110325,0.954248366013072,0.9207207207207208,0.9903100775193798,4.694972
pythia-1b,compound_words.pyth.24.-1,second-derivative,5,6925,0.9428220902271496,0.9541463414634146,0.9191729323308271,0.9918864097363083,12.721294
pythia-1b,compound_words.pyth.24.-1,public-health,3,7733,0.9426242921714247,0.9533678756476685,0.92,0.989247311827957,5.595689
pythia-1b,distribution_id.pyth.512.-1,wikipedia,5,3264,0.943301513451521,0.9469026548672567,1.0,0.8991596638655462,23.134922
pythia-1b,programming_lang_id.pyth.512.-1,Python,10,3855,0.9400676873103173,0.945054945054945,0.9555555555555556,0.9347826086956522,8.521176
pythia-1b,ewt.pyth.512.-1,upos_PUNC,11,6020,0.9290715221789737,0.9431167956916863,0.9408999328408327,0.9453441295546559,3.4221926
pythia-1b,compound_words.pyth.24.-1,cell-lines,3,6488,0.929280493712303,0.9420442571127503,0.9012096774193549,0.9867549668874173,7.3041673
pythia-1b,compound_words.pyth.24.-1,magnetic-field,2,1133,0.9280163954230001,0.9416342412451362,0.8929889298892989,0.9958847736625515,7.246326
pythia-1b,compound_words.pyth.24.-1,mental-health,3,5082,0.9255332758416392,0.9398340248962656,0.9096385542168675,0.9721030042918455,8.358054
pythia-1b,compound_words.pyth.24.-1,high-school,3,1626,0.9172309926679592,0.9326732673267327,0.8820224719101124,0.9894957983193278,4.6299686
pythia-1b,compound_words.pyth.24.-1,credit-card,2,1549,0.9142698186749688,0.9288702928870294,0.8722986247544204,0.9932885906040269,4.254428
pythia-1b,programming_lang_id.pyth.512.-1,Java,6,4070,0.9124065157258477,0.9263565891472868,0.9263565891472868,0.9263565891472868,12.90993
pythia-1b,compound_words.pyth.24.-1,federal-government,3,3451,0.9089592875477477,0.9261186264308012,0.8882235528942116,0.967391304347826,9.707878
pythia-1b,compound_words.pyth.24.-1,control-group,3,1421,0.9067477314506192,0.9253152279340445,0.8817005545286506,0.9734693877551021,6.0946875
pythia-1b,compound_words.pyth.24.-1,third-party,3,1736,0.9019989109334126,0.9198813056379822,0.8611111111111112,0.9872611464968153,2.7755806
pythia-1b,ewt.pyth.512.-1,upos_CCONJ,12,6912,0.8927927748421484,0.9150615724660561,0.8927911275415896,0.9384715025906736,4.2054634
pythia-1b,ewt.pyth.512.-1,Person_1,1,5241,0.8929936602394639,0.9147887323943663,0.9454148471615721,0.8860845839017736,16.086012
pythia-1b,ewt.pyth.512.-1,Mood_Imp,6,2608,0.9003756007342144,0.9073064340239912,0.9369369369369369,0.879492600422833,6.07206
pythia-1b,distribution_id.pyth.512.-1,enron,6,5200,0.901398640265302,0.9065743944636678,0.8791946308724832,0.9357142857142857,18.958399
pythia-1b,latex.pyth.1024.-1,is_title,8,7590,0.8741777780343407,0.9013778100072516,0.9524904214559387,0.8554714384033035,5.9593196
pythia-1b,compound_words.pyth.24.-1,gene-expression,3,5905,0.8772477378504239,0.9001996007984031,0.8429906542056075,0.9657387580299786,5.855092
pythia-1b,distribution_id.pyth.512.-1,hackernews,14,6929,0.8890569319898058,0.8963855421686747,0.8454545454545455,0.9538461538461539,18.241182
pythia-1b,ewt.pyth.512.-1,PronType_Art,1,1238,0.8639889491722936,0.8906298965841428,0.8378537735849056,0.9505016722408027,-44.61266
pythia-1b,compound_words.pyth.24.-1,clinical-trials,2,7094,0.8615930933261592,0.8846918489065607,0.8032490974729242,0.9845132743362832,5.3559656
pythia-1b,latex.pyth.1024.-1,is_math,4,6231,0.8467668124943359,0.8810267082899756,0.9428359317000743,0.8268229166666666,9.685655
pythia-1b,ewt.pyth.512.-1,PronType_Rel,2,6786,0.8636604790632647,0.8699878493317132,0.9156010230179028,0.8287037037037037,7.619485
pythia-1b,ewt.pyth.512.-1,PronType_Dem,5,3696,0.848052302526216,0.8606880992667796,0.959748427672956,0.7801635991820041,4.3759665
pythia-1b,ewt.pyth.512.-1,VerbForm_Ger,1,4711,0.8284570493044038,0.8511066398390342,0.8401191658391262,0.8623853211009175,2.2297537
pythia-1b,programming_lang_id.pyth.512.-1,C,1,3398,0.8183904415830677,0.8463073852295409,0.8617886178861789,0.8313725490196079,16.776478
pythia-1b,ewt.pyth.512.-1,upos_DET,15,6464,0.8120166854385139,0.8457746478873239,0.8982797307404637,0.7990685296074518,2.6790113
pythia-1b,latex.pyth.1024.-1,is_reference,15,7851,0.7909179441027505,0.8444010416666666,0.8373143963847643,0.8516086671043992,2.7446747
pythia-1b,ewt.pyth.512.-1,Person_3,1,6601,0.7843246632214123,0.8427128427128427,0.8902439024390244,0.8,-31.756598
pythia-1b,ewt.pyth.512.-1,upos_AUX,12,6655,0.795477701089131,0.837568349951753,0.8183532369578881,0.857707509881423,3.5899053
pythia-1b,ewt.pyth.512.-1,PronType_Prs,1,445,0.7986022283117763,0.8361481481481481,0.7481442205726405,0.9476158495634655,35.16835
pythia-1b,ewt.pyth.512.-1,Number_Plur,11,239,0.805787897384209,0.8360715589631252,0.9278768233387358,0.760797342192691,3.0223067
pythia-1b,text_features.pyth.256.10000,all_digits,6,4230,0.795419726193323,0.8331892826274848,0.8827838827838828,0.7888707037643208,7.0719743
pythia-1b,text_features.pyth.256.10000,contains_digit,6,4230,0.795419726193323,0.8331892826274848,0.8827838827838828,0.7888707037643208,7.063507
pythia-1b,ewt.pyth.512.-1,Tense_Past,3,5351,0.7971474193468275,0.830057803468208,0.9862637362637363,0.716566866267465,3.2779672
pythia-1b,ewt.pyth.512.-1,PronType_Int,11,2807,0.8154965735840636,0.8256684491978609,0.8733031674208145,0.7829614604462475,9.624697
pythia-1b,ewt.pyth.512.-1,upos_VERB,8,5985,0.7894661090952343,0.8196480938416422,0.9363484087102177,0.7288135593220338,3.7531083
pythia-1b,latex.pyth.1024.-1,is_inline_math,12,7092,0.7798125348571636,0.8185621909471281,0.9480176211453745,0.7202141900937081,2.4936721
pythia-1b,ewt.pyth.512.-1,upos_SCONJ,11,712,0.7613451310601148,0.8107588856868396,0.7927363807138385,0.8296199213630406,3.3182247
pythia-1b,latex.pyth.1024.-1,is_abstract,10,6235,0.747339141889837,0.8104138851802404,0.8077178975382568,0.8131279303415941,7.6019073
pythia-1b,programming_lang_id.pyth.512.-1,HTML,11,5075,0.7946779146635131,0.8091603053435115,0.7571428571428571,0.8688524590163934,23.515064
pythia-1b,latex.pyth.1024.-1,is_frac,15,7254,0.7397130313818051,0.8073861827443489,0.785139318885449,0.8309305373525557,3.1273751
pythia-1b,distribution_id.pyth.512.-1,stack_exchange,10,6689,0.7896268210562026,0.8073022312373225,0.8766519823788547,0.7481203007518797,22.090946
pythia-1b,programming_lang_id.pyth.512.-1,JavaScript,10,7925,0.7835687958476246,0.8058823529411766,0.7828571428571428,0.8303030303030303,5.4128723
pythia-1b,latex.pyth.1024.-1,is_display_math,14,2454,0.7263067929058924,0.7948016415868673,0.8091922005571031,0.7809139784946236,2.806044
pythia-1b,text_features.pyth.256.10000,has_leading_space,1,4170,0.6595002114159901,0.7920640976726441,0.9301075268817204,0.6897009966777409,-13.020027
pythia-1b,programming_lang_id.pyth.512.-1,C++,11,2070,0.7467755336617309,0.7871939736346516,0.7517985611510791,0.8260869565217391,14.551306
pythia-1b,latex.pyth.1024.-1,is_author,4,3924,0.7223532824477161,0.7866049162807267,0.8159645232815964,0.7592847317744154,2.2815332
pythia-1b,latex.pyth.1024.-1,is_numerator,6,4107,0.70042488940554,0.7838635618235487,0.7774886141834743,0.7903439153439153,4.652511
pythia-1b,ewt.pyth.512.-1,VerbForm_Fin,6,1952,0.7258177846183012,0.7777777777777777,0.8143063583815029,0.7443857331571995,7.4276166
pythia-1b,ewt.pyth.512.-1,NumType_Card,11,141,0.7467083299564579,0.7763904653802497,0.938700823421775,0.6619354838709678,4.964378
pythia-1b,text_features.pyth.256.10000,all_capitals,2,351,0.7332487586269113,0.7665706051873199,0.9151376146788991,0.6595041322314049,3.3972738
pythia-1b,ewt.pyth.512.-1,upos_NUM,11,141,0.7367878304793017,0.7648419429452583,0.9420702754036088,0.6437378325762492,4.9796185
pythia-1b,text_features.pyth.256.10000,contains_whitespace,3,762,0.5601805118858086,0.7597286683327383,0.8338557993730408,0.6977049180327869,-8.461479
pythia-1b,ewt.pyth.512.-1,VerbForm_Inf,4,4838,0.700166519730105,0.7539048941339812,0.8271134805788272,0.6926020408163265,2.934017
pythia-1b,ewt.pyth.512.-1,upos_X,7,2381,0.7063016300038267,0.7529411764705882,0.8212147134302823,0.6951484431571325,5.3297863
pythia-1b,text_features.pyth.256.10000,contains_all_whitespace,11,2178,0.6868231733889331,0.7482128673550437,0.684593023255814,0.8248686514886164,1.9948548
pythia-1b,ewt.pyth.512.-1,Voice_Pass,2,2482,0.7256186875024304,0.7416829745596869,0.6865942028985508,0.8063829787234043,3.366933
pythia-1b,latex.pyth.1024.-1,is_denominator,12,287,0.6690064290765306,0.732128829536528,0.89272030651341,0.6205059920106525,3.1732771
pythia-1b,text_features.pyth.256.10000,leading_capital,2,5390,0.6907087901758492,0.7247247247247247,0.8982630272952854,0.6073825503355704,6.1473722
pythia-1b,ewt.pyth.512.-1,upos_ADP,13,7725,0.653336809866864,0.7223701731025299,0.7022653721682848,0.7436600411240576,3.6935358
pythia-1b,ewt.pyth.512.-1,first_eos_True,1,7866,0.6873166814271109,0.7222832052689353,0.6783505154639176,0.7723004694835681,-36.0279
pythia-1b,distribution_id.pyth.512.-1,github,1,4995,0.6842119926703663,0.7209944751381215,0.633495145631068,0.8365384615384616,27.185259
pythia-1b,text_features.pyth.256.10000,contains_capital,2,5390,0.6813535517891008,0.7167167167167167,0.8905472636815921,0.5996649916247906,6.2018504
