model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-2.8b,programming_lang_id.pyth.512.-1,PHP,17,9308,0.9350786534524582,0.9383886255924171,0.9801980198019802,0.9,14.366793
pythia-2.8b,programming_lang_id.pyth.512.-1,Python,16,7093,0.9270653643523482,0.9323308270676692,0.96875,0.8985507246376812,13.966063
pythia-2.8b,programming_lang_id.pyth.512.-1,Python,16,8265,0.9250028212159113,0.9314079422382672,0.9280575539568345,0.9347826086956522,5.18329
pythia-2.8b,programming_lang_id.pyth.512.-1,Python,19,7681,0.9141095598266422,0.9214285714285715,0.9084507042253521,0.9347826086956522,10.159386
pythia-2.8b,programming_lang_id.pyth.512.-1,Python,19,9615,0.9109976465008628,0.917910447761194,0.9461538461538461,0.8913043478260869,16.987494
pythia-2.8b,programming_lang_id.pyth.512.-1,Go,7,9646,0.9104050414101025,0.9197860962566844,0.9608938547486033,0.882051282051282,15.959565
pythia-2.8b,programming_lang_id.pyth.512.-1,Go,16,1228,0.9043539770693867,0.9144385026737969,0.9553072625698324,0.8769230769230769,15.37588
pythia-2.8b,programming_lang_id.pyth.512.-1,Go,9,10099,0.9035961520742551,0.9151670951156812,0.9175257731958762,0.9128205128205128,15.546834
pythia-2.8b,programming_lang_id.pyth.512.-1,Go,4,6941,0.9013426404358718,0.9132653061224489,0.9086294416243654,0.9179487179487179,17.789375
pythia-2.8b,programming_lang_id.pyth.512.-1,PHP,17,4150,0.9009734354048375,0.9074074074074073,0.9245283018867925,0.8909090909090909,11.873378
pythia-2.8b,natural_lang_id.pyth.512.-1,el,13,2507,1.0,1.0,1.0,1.0,27.314253
pythia-2.8b,natural_lang_id.pyth.512.-1,el,11,193,1.0,1.0,1.0,1.0,46.97272
pythia-2.8b,natural_lang_id.pyth.512.-1,el,11,904,1.0,1.0,1.0,1.0,49.02467
pythia-2.8b,natural_lang_id.pyth.512.-1,el,11,7487,1.0,1.0,1.0,1.0,29.286564
pythia-2.8b,natural_lang_id.pyth.512.-1,el,12,1631,1.0,1.0,1.0,1.0,47.00434
pythia-2.8b,natural_lang_id.pyth.512.-1,el,12,2261,1.0,1.0,1.0,1.0,44.00365
pythia-2.8b,natural_lang_id.pyth.512.-1,el,12,5533,1.0,1.0,1.0,1.0,39.786545
pythia-2.8b,natural_lang_id.pyth.512.-1,el,12,6741,1.0,1.0,1.0,1.0,36.9786
pythia-2.8b,natural_lang_id.pyth.512.-1,el,12,8249,1.0,1.0,1.0,1.0,25.281277
pythia-2.8b,natural_lang_id.pyth.512.-1,el,12,8696,1.0,1.0,1.0,1.0,42.131027
pythia-2.8b,natural_lang_id.pyth.512.-1,el,13,5252,1.0,1.0,1.0,1.0,42.44262
pythia-2.8b,natural_lang_id.pyth.512.-1,el,10,4187,1.0,1.0,1.0,1.0,44.09132
pythia-2.8b,natural_lang_id.pyth.512.-1,el,13,5296,1.0,1.0,1.0,1.0,50.064053
pythia-2.8b,natural_lang_id.pyth.512.-1,el,13,6839,1.0,1.0,1.0,1.0,43.559883
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,1286,1.0,1.0,1.0,1.0,26.044226
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,1814,1.0,1.0,1.0,1.0,41.239933
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,2413,1.0,1.0,1.0,1.0,42.590515
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,4691,1.0,1.0,1.0,1.0,43.82137
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,5708,1.0,1.0,1.0,1.0,42.19903
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,6557,1.0,1.0,1.0,1.0,38.184734
