model,dataset,feature,layer,aggregation,hook_loc,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-2.8b,compound_words.pyth.24.-1,prime-factors,2,none,mlp.hook_post,9771,0.9986550999226772,0.9989118607181718,1.0,0.9978260869565218,6.9789343
pythia-2.8b,compound_words.pyth.24.-1,living-room,4,none,mlp.hook_post,6737,0.9918465673980807,0.9933628318584071,0.9868131868131869,1.0,6.4259844
pythia-2.8b,compound_words.pyth.24.-1,social-media,5,none,mlp.hook_post,1107,0.987785803297301,0.9904214559386973,0.9847619047619047,0.9961464354527938,5.8557606
pythia-2.8b,compound_words.pyth.24.-1,social-security,3,none,mlp.hook_post,8199,0.9832833384995171,0.9866117404737383,0.9775510204081632,0.9958419958419958,6.2409496
pythia-2.8b,compound_words.pyth.24.-1,second-derivative,5,none,mlp.hook_post,8905,0.9821605562823835,0.9858299595141702,0.9838383838383838,0.9878296146044625,12.588413
pythia-2.8b,compound_words.pyth.24.-1,mental-health,3,none,mlp.hook_post,4521,0.9619323557051809,0.9693121693121693,0.9561586638830898,0.9828326180257511,5.0580335
pythia-2.8b,compound_words.pyth.24.-1,blood-pressure,3,none,mlp.hook_post,6915,0.9615481205546845,0.9691542288557214,0.9437984496124031,0.9959100204498977,6.87574
pythia-2.8b,compound_words.pyth.24.-1,high-school,3,none,mlp.hook_post,1514,0.9529504394040703,0.9621289662231322,0.93812375249501,0.9873949579831933,5.0860415
pythia-2.8b,compound_words.pyth.24.-1,trial-court,2,none,mlp.hook_post,6559,0.9523787712311456,0.9613034623217922,0.9273084479371316,0.9978858350951374,9.633029
pythia-2.8b,compound_words.pyth.24.-1,public-health,3,none,mlp.hook_post,3567,0.9490190107696157,0.9585062240663901,0.9258517034068137,0.9935483870967742,5.8376412
pythia-2.8b,compound_words.pyth.24.-1,side-effects,2,none,mlp.hook_post,5230,0.9464102662587212,0.9561586638830897,0.9196787148594378,0.9956521739130435,9.318477
pythia-2.8b,compound_words.pyth.24.-1,cell-lines,2,none,mlp.hook_post,1918,0.9315006661697458,0.9435146443514644,0.8966202783300199,0.9955849889624724,4.922087
pythia-2.8b,compound_words.pyth.24.-1,human-rights,3,none,mlp.hook_post,9341,0.9314401655687998,0.9458955223880597,0.9118705035971223,0.9825581395348837,9.791269
pythia-2.8b,compound_words.pyth.24.-1,federal-government,4,none,mlp.hook_post,7480,0.920305997433491,0.9352818371607515,0.8995983935742972,0.9739130434782609,6.236562
pythia-2.8b,compound_words.pyth.24.-1,gene-expression,3,none,mlp.hook_post,3090,0.9190692232677301,0.9344262295081969,0.8958742632612967,0.9764453961456103,10.129644
pythia-2.8b,compound_words.pyth.24.-1,control-group,4,none,mlp.hook_post,6166,0.9092214950266629,0.9272550921435498,0.8835489833641405,0.9755102040816327,6.05653
pythia-2.8b,compound_words.pyth.24.-1,credit-card,2,none,mlp.hook_post,9575,0.9064152388518025,0.9225941422594142,0.8664047151277013,0.9865771812080537,5.7136483
pythia-2.8b,compound_words.pyth.24.-1,north-america,2,none,mlp.hook_post,1929,0.8963757043716488,0.9142280524722503,0.848314606741573,0.9912472647702407,7.7785225
pythia-2.8b,compound_words.pyth.24.-1,third-party,3,none,mlp.hook_post,9675,0.893091631610025,0.912109375,0.8444846292947559,0.9915074309978769,4.264713
pythia-2.8b,compound_words.pyth.24.-1,clinical-trials,2,none,mlp.hook_post,1742,0.8647535862986758,0.8877755511022043,0.8113553113553114,0.9800884955752213,6.3994236
pythia-2.8b,compound_words.pyth.24.-1,magnetic-field,2,none,mlp.hook_post,9694,0.8578589130693968,0.8851224105461394,0.8159722222222222,0.9670781893004116,4.850628
