model,dataset,feature,layer,aggregation,hook_loc,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-6.9b,distribution_id.pyth.512.-1,uspto,8,mean,mlp.hook_post,1816,0.9893209927879815,0.990625,1.0,0.9814241486068112,13.036818
pythia-6.9b,distribution_id.pyth.512.-1,arxiv,31,mean,mlp.hook_post,13649,0.9826337132679703,0.986351228389445,0.9963235294117647,0.9765765765765766,15.236027
pythia-6.9b,distribution_id.pyth.512.-1,uspto,7,mean,mlp.hook_post,7805,0.9768085321830406,0.9797191887675507,0.9874213836477987,0.9721362229102167,24.992254
pythia-6.9b,distribution_id.pyth.512.-1,freelaw,14,mean,mlp.hook_post,12806,0.9710553525760423,0.9760348583877996,0.9977728285077951,0.9552238805970149,22.229414
pythia-6.9b,distribution_id.pyth.512.-1,arxiv,27,mean,mlp.hook_post,11263,0.9642238442891552,0.9720972097209721,0.9712230215827338,0.972972972972973,15.291997
pythia-6.9b,distribution_id.pyth.512.-1,freelaw,1,mean,mlp.hook_post,8710,0.9611194179436281,0.9683544303797468,0.9582463465553236,0.9786780383795309,-37.31863
pythia-6.9b,distribution_id.pyth.512.-1,uspto,7,mean,mlp.hook_post,14461,0.9608491936304272,0.9658385093167702,0.9688473520249221,0.9628482972136223,27.479229
pythia-6.9b,distribution_id.pyth.512.-1,arxiv,30,mean,mlp.hook_post,7320,0.9605321440737165,0.9685767097966729,0.9943074003795066,0.9441441441441442,21.24965
pythia-6.9b,distribution_id.pyth.512.-1,freelaw,7,mean,mlp.hook_post,15782,0.951174970941705,0.9590254706533776,0.9976958525345622,0.9232409381663113,25.9928
pythia-6.9b,distribution_id.pyth.512.-1,enron,17,mean,mlp.hook_post,15140,0.94834491091295,0.9510489510489512,0.9315068493150684,0.9714285714285714,14.508387
pythia-6.9b,distribution_id.pyth.512.-1,enron,17,mean,mlp.hook_post,14623,0.9302838923103667,0.9333333333333333,0.9692307692307692,0.9,22.055277
pythia-6.9b,distribution_id.pyth.512.-1,enron,22,mean,mlp.hook_post,15422,0.9194359394150236,0.9225589225589225,0.8726114649681529,0.9785714285714285,10.719464
pythia-6.9b,distribution_id.pyth.512.-1,hackernews,30,mean,mlp.hook_post,5233,0.916887246381335,0.9205479452054796,0.9882352941176471,0.8615384615384616,23.487501
