model,dataset,feature,layer,aggregation,hook_loc,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-70m,natural_lang_id.pyth.512.-1,de,3,mean,mlp.hook_post,343,1.0,1.0,1.0,1.0,5.429084
pythia-70m,natural_lang_id.pyth.512.-1,fr,3,mean,mlp.hook_post,609,1.0,1.0,1.0,1.0,5.855191
pythia-70m,natural_lang_id.pyth.512.-1,it,4,mean,mlp.hook_post,627,1.0,1.0,1.0,1.0,6.572351
pythia-70m,natural_lang_id.pyth.512.-1,el,5,mean,mlp.hook_post,1434,1.0,1.0,1.0,1.0,6.6436276
pythia-70m,natural_lang_id.pyth.512.-1,el,5,mean,mlp.hook_post,1645,1.0,1.0,1.0,1.0,8.188068
pythia-70m,natural_lang_id.pyth.512.-1,pt,4,mean,mlp.hook_post,1986,0.9993983932000134,0.9994649545211343,1.0,0.9989304812834224,8.316875
pythia-70m,natural_lang_id.pyth.512.-1,el,0,mean,mlp.hook_post,1006,1.0,1.0,1.0,1.0,8.806415
pythia-70m,natural_lang_id.pyth.512.-1,it,5,mean,mlp.hook_post,1856,1.0,1.0,1.0,1.0,9.4072895
pythia-70m,natural_lang_id.pyth.512.-1,it,4,mean,mlp.hook_post,45,1.0,1.0,1.0,1.0,9.975465
pythia-70m,natural_lang_id.pyth.512.-1,nl,3,mean,mlp.hook_post,786,0.999397264142742,0.9994638069705095,1.0,0.9989281886387996,10.48039
pythia-70m,natural_lang_id.pyth.512.-1,sv,4,mean,mlp.hook_post,230,1.0,1.0,1.0,1.0,10.742738
pythia-70m,natural_lang_id.pyth.512.-1,de,5,mean,mlp.hook_post,894,1.0,1.0,1.0,1.0,11.527867
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,mean,mlp.hook_post,751,1.0,1.0,1.0,1.0,11.803505
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,mean,mlp.hook_post,670,1.0,1.0,1.0,1.0,12.895436
pythia-70m,natural_lang_id.pyth.512.-1,sv,3,mean,mlp.hook_post,98,0.9993880511967762,0.9994544462629569,1.0,0.9989094874591058,13.709608
pythia-70m,natural_lang_id.pyth.512.-1,de,4,mean,mlp.hook_post,1559,1.0,1.0,1.0,1.0,13.793328
pythia-70m,natural_lang_id.pyth.512.-1,nl,4,mean,mlp.hook_post,2047,1.0,1.0,1.0,1.0,13.881838
pythia-70m,natural_lang_id.pyth.512.-1,sv,4,mean,mlp.hook_post,21,1.0,1.0,1.0,1.0,14.509701
pythia-70m,natural_lang_id.pyth.512.-1,en,5,mean,mlp.hook_post,122,0.999401751056315,0.9994683678894205,1.0,0.9989373007438895,14.87958
pythia-70m,natural_lang_id.pyth.512.-1,en,5,mean,mlp.hook_post,765,1.0,1.0,1.0,1.0,15.815285
pythia-70m,natural_lang_id.pyth.512.-1,en,5,mean,mlp.hook_post,285,0.999401751056315,0.9994683678894205,1.0,0.9989373007438895,16.341928
pythia-70m,natural_lang_id.pyth.512.-1,es,5,mean,mlp.hook_post,632,0.9994061609462219,0.9994728518713759,1.0,0.9989462592202318,17.05969
pythia-70m,natural_lang_id.pyth.512.-1,nl,5,mean,mlp.hook_post,987,0.999397264142742,0.9994638069705095,1.0,0.9989281886387996,18.002659
pythia-70m,natural_lang_id.pyth.512.-1,es,4,mean,mlp.hook_post,292,0.9994061609462219,0.9994728518713759,1.0,0.9989462592202318,18.887386
