model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-70m,compound_words.pyth.24.-1,prime-factors,1,1117,0.998657327028896,0.998914223669924,0.9978308026030369,1.0,8.556478
pythia-70m,ewt.pyth.512.-1,Gender_Fem,3,897,0.9968341301555259,0.9972299168975068,1.0,0.994475138121547,8.894229
pythia-70m,ewt.pyth.512.-1,Gender_Masc,1,2011,0.9864461909944482,0.9913875598086124,0.9961538461538462,0.9866666666666667,13.323768
pythia-70m,compound_words.pyth.24.-1,blood-pressure,2,1619,0.9836041026006849,0.9868819374369324,0.9741035856573705,1.0,9.373064
pythia-70m,ewt.pyth.512.-1,Gender_Neut,1,1421,0.963774115314859,0.9818181818181819,0.9915254237288136,0.9722991689750693,-27.386532
pythia-70m,distribution_id.pyth.512.-1,freelaw,4,189,0.9764306724977823,0.9808102345415778,0.9808102345415778,0.9808102345415778,9.663807
pythia-70m,distribution_id.pyth.512.-1,uspto,3,570,0.9749828259483623,0.9780564263322885,0.9904761904761905,0.9659442724458205,15.304385
pythia-70m,compound_words.pyth.24.-1,social-security,1,1964,0.9661927196404106,0.9726996966632961,0.9468503937007874,1.0,7.400129
pythia-70m,ewt.pyth.512.-1,eos_True,4,1186,0.956311806610234,0.9650032404407,0.9441978440076094,0.9867461895294898,5.4316773
pythia-70m,compound_words.pyth.24.-1,social-media,1,1914,0.9529244783836351,0.962756052141527,0.9315315315315316,0.9961464354527938,9.301824
pythia-70m,distribution_id.pyth.512.-1,arxiv,5,605,0.9408097864708943,0.9536784741144414,0.9615384615384616,0.9459459459459459,16.056845
pythia-70m,compound_words.pyth.24.-1,gene-expression,1,1010,0.9410659533071424,0.9518935516888435,0.9117647058823529,0.9957173447537473,11.679683
pythia-70m,compound_words.pyth.24.-1,human-rights,1,949,0.9294516121385421,0.9442379182156134,0.9071428571428571,0.9844961240310077,9.703477
pythia-70m,compound_words.pyth.24.-1,cell-lines,2,1710,0.9319101855276641,0.9441517386722866,0.9032258064516129,0.9889624724061811,12.062722
pythia-70m,compound_words.pyth.24.-1,high-school,1,561,0.9257077918059722,0.9398797595190381,0.8984674329501916,0.9852941176470589,9.052417
pythia-70m,compound_words.pyth.24.-1,north-america,1,1252,0.9105720849056532,0.9267285861713106,0.876953125,0.9824945295404814,9.161122
pythia-70m,ewt.pyth.512.-1,Person_2,1,1827,0.9093060030798248,0.9221388367729829,0.9317535545023696,0.9127205199628597,14.325127
pythia-70m,compound_words.pyth.24.-1,side-effects,2,1498,0.9029244469174559,0.9208633093525179,0.8732943469785575,0.9739130434782609,6.6536756
pythia-70m,compound_words.pyth.24.-1,living-room,1,804,0.9032958469218761,0.9205020920502093,0.8678500986193294,0.9799554565701559,10.38453
pythia-70m,compound_words.pyth.24.-1,public-health,2,186,0.8905119329714771,0.9113149847094801,0.8662790697674418,0.9612903225806452,7.8924613
pythia-70m,compound_words.pyth.24.-1,third-party,1,316,0.8848423054085711,0.9058823529411765,0.8415300546448088,0.9808917197452229,5.7811847
pythia-70m,ewt.pyth.512.-1,upos_PUNC,4,178,0.8775884331049941,0.9004871259568547,0.9295977011494253,0.873144399460189,9.883085
pythia-70m,compound_words.pyth.24.-1,magnetic-field,1,687,0.8768800811534094,0.9,0.8310104529616724,0.9814814814814815,5.099117
pythia-70m,compound_words.pyth.24.-1,credit-card,1,1794,0.8770517699482262,0.896969696969697,0.8176795580110497,0.9932885906040269,4.5928264
pythia-70m,compound_words.pyth.24.-1,trial-court,1,928,0.8555228489427428,0.8826382153249273,0.8154121863799283,0.9619450317124736,10.220205
pythia-70m,ewt.pyth.512.-1,upos_CCONJ,3,317,0.8444752096875778,0.8769519050593378,0.8468033775633294,0.9093264248704663,8.632369
pythia-70m,latex.pyth.1024.-1,is_math,4,1949,0.8260747228117031,0.8697951090548579,0.8832214765100671,0.8567708333333334,3.7976518
pythia-70m,latex.pyth.1024.-1,is_reference,4,1408,0.8289003379559975,0.8692070030895983,0.9107913669064748,0.8312541037426132,5.0136704
pythia-70m,latex.pyth.1024.-1,is_abstract,1,1296,0.8246701751476473,0.8689611619829491,0.8219832735961768,0.9216342933690556,4.578026
pythia-70m,compound_words.pyth.24.-1,mental-health,1,1998,0.8311060565519648,0.8630541871921181,0.7978142076502732,0.9399141630901288,10.462485
pythia-70m,ewt.pyth.512.-1,PronType_Art,2,1879,0.8292777202485832,0.8597525044195639,0.7682991047919958,0.9759197324414716,34.605156
